title,category,updated_guidance,update_date,citation_url
Missing HowTo schema on instructional content,ai_geo,"Google completely deprecated HowTo rich results. They were removed from desktop in September 2023 and fully phased out on mobile by 2024. Google dropped the HowTo search appearance, rich result report, and Rich Results Test support.",09/13/2023,https://developers.google.com/search/blog/2023/08/howto-faq-changes
Site uses client-side rendering without a server-side fallback,javascript,"Google deprecated dynamic rendering as a recommended workaround. The documentation was updated to clarify that dynamic rendering is error-prone and adds server complexity. Google recommends SSR, SSG, or hydration instead.",03/29/2024,https://developers.google.com/search/docs/crawling-indexing/javascript/dynamic-rendering
Book actions structured data is not implemented for book listings,rich_results,"Google announced it is phasing out the Book Actions rich result. The Google Search Central page still notes the feature is limited to book providers with a wide selection, but the June 2025 blog post confirms the phase-out.",06/01/2025,https://developers.google.com/search/blog/2025/06/simplifying-search-results
Book actions data feed has errors or missing required properties,rich_results,"Google announced it is phasing out the Book Actions rich result. Feed validation errors are moot since the rich result itself is being retired.",06/01/2025,https://developers.google.com/search/blog/2025/06/simplifying-search-results
Course list structured data is not implemented for educational content,rich_results,"Google announced that Course Info rich results are being phased out.",06/01/2025,https://developers.google.com/search/blog/2025/06/simplifying-search-results
Course schema has validation errors or missing required properties,rich_results,"Google announced that Course Info rich results are being phased out. Fixing validation errors provides no benefit since the rich result is being retired.",06/01/2025,https://developers.google.com/search/blog/2025/06/simplifying-search-results
Education Q&A structured data is not implemented on flashcard pages,rich_results,"Google announced that Practice Problem (Quiz) structured data support is being phased out.",06/01/2025,https://developers.google.com/search/blog/2025/06/simplifying-search-results
Education Q&A schema has validation errors or missing required properties,rich_results,"Google announced that Practice Problem (Quiz) structured data support is being phased out. Fixing validation errors provides no benefit since the rich result is being retired.",06/01/2025,https://developers.google.com/search/blog/2025/06/simplifying-search-results
Fact check structured data is not implemented on fact-checking content,rich_results,"Google announced that Claim Review (Fact Check) rich results are being phased out. Additionally, Poynter reported that Google has been downgrading fact-checking content and rich results, though Google has not confirmed this.",06/01/2025,https://developers.google.com/search/blog/2025/06/simplifying-search-results
Fact check schema has validation errors or missing required properties,rich_results,"Google announced that Claim Review (Fact Check) rich results are being phased out. Fixing validation errors provides no benefit since the rich result is being retired.",06/01/2025,https://developers.google.com/search/blog/2025/06/simplifying-search-results
FAQ structured data is not implemented on eligible pages,rich_results,"Google restricted FAQ rich results to well-known authoritative government and health websites only. Previously any site with valid FAQPage markup could earn FAQ rich results.",08/08/2023,https://developers.google.com/search/blog/2023/08/howto-faq-changes
FAQ schema has validation errors or missing required properties,rich_results,"Google restricted FAQ rich results to well-known authoritative government and health websites only. For non-eligible sites fixing validation errors provides no benefit.",08/08/2023,https://developers.google.com/search/blog/2023/08/howto-faq-changes
Speakable structured data is not implemented on news content,rich_results,"Speakable markup is now a legacy signal. Voice responses are primarily generated by AI instead of pulled from structured speakable blocks. The feature remains in beta and is limited to US-based English Google Home devices.",03/01/2026,https://developers.google.com/search/docs/appearance/structured-data/speakable
Speakable-marked content is not optimized for voice delivery,rich_results,"Speakable markup is now a legacy signal. Optimizing speakable content provides minimal benefit since AI-generated voice responses have largely replaced the structured speakable block approach.",03/01/2026,https://developers.google.com/search/docs/appearance/structured-data/speakable
